岗位,工作经验,学历要求,发布时间,地址,薪资,详细地址,公司全称,第一岗位,第二岗位
Python 开发工程师,1-3年,本科,2018-04-08 09:34:03,杭州,15k-20k,西湖区,杭州嘉云数据科技有限公司,开发/测试/运维类,后端开发
python开发工程师,1-3年,不限,2018-04-04 13:40:17,杭州,6k-10k,江干区,杭州健培科技有限公司,开发/测试/运维类,后端开发
python开发,3-5年,大专,2018-04-08 18:23:08,杭州,10k-20k,西湖区,武汉佰钧成技术有限责任公司,开发/测试/运维类,软件开发
Python开发工程师,1-3年,大专,2018-04-08 09:06:35,杭州,8k-16k,余杭区,杭州牛盾网络技术有限公司,开发/测试/运维类,后端开发
Python工程师,不限,本科,2018-04-08 17:38:16,杭州,7k-14k,拱墅区,杭州西柚科技有限公司,开发/测试/运维类,后端开发
Python 开发工程师,1-3年,本科,2018-04-08 09:34:03,杭州,15k-20k,西湖区,杭州嘉云数据科技有限公司,开发/测试/运维类,后端开发
python开发工程师,1-3年,不限,2018-04-04 13:40:17,杭州,6k-10k,江干区,杭州健培科技有限公司,开发/测试/运维类,后端开发
Python开发工程师,3-5年,本科,2018-04-08 09:27:32,杭州,15k-30k,余杭区,圆通速递有限公司,开发/测试/运维类,后端开发
Python研发工程师,1-3年,本科,2018-03-29 10:42:20,杭州,15k-23k,拱墅区,杭州群核信息技术有限公司,开发/测试/运维类,后端开发
爬虫/python工程师,1-3年,大专,2018-04-08 21:43:52,杭州,12k-24k,西湖区,杭州大块科技有限公司,开发/测试/运维类,数据开发
资深Python工程师,3-5年,本科,2018-04-08 09:26:03,杭州,15k-25k,西湖区,浙江钱粒科技有限公司,开发/测试/运维类,后端开发
Python开发工程师,3-5年,本科,2018-04-08 19:05:49,杭州,15k-25k,下城区,浙江日报报业集团,开发/测试/运维类,后端开发
运维开发工程师（python）,5-10年,本科,2018-04-08 10:37:10,杭州,15k-25k,拱墅区,浙江诚泽金开投资管理有限公司,开发/测试/运维类,运维安全
Python软件开发工程师,1-3年,本科,2018-04-04 13:07:29,杭州,10k-20k,拱墅区,浙江执御信息技术有限公司,开发/测试/运维类,后端开发
Python工程师,1-3年,本科,2018-03-09 14:24:22,杭州,8k-16k,滨江区,中科视拓（北京）科技有限公司,开发/测试/运维类,后端开发
